duel,displayName,name,platformId,standard,platform,team,doubles
1222,AtomicRL,,76561198195719894,1702,steam,lindsay lohan,1239
635,Kerupt,,keruptt,1631,steam,lindsay lohan,1269
1368,Wonder,,gpobeardo,1278,steam,FlyQuest,1895
1395,Taroco,,76561198118155495,1216,steam,Snakes,1872
1424,RapidRL27,,Rapid232,1097,steam,lindsay lohan,1747
1264,asn0828,,ostynJESUS,1081,steam,Snakes,1689
1453,AyyJayyRL,,76561198105072499,1962,steam,FlyQuest,1374
1272,Normal Times,,76561198092029222,1337,steam,The B0yzzz,1803
2056,dbanq,,76561198115904363,1768,steam,The B0yzzz,1267
1500,Dappur,,dappur,1360,steam,FlyQuest,2066
1191,Stokelyy,,Stokelyy,1344,steam,Snakes,1550
,SLUSHI,,steamcommunity.com/id/SLvSHI/,,steam,Upper 90 eSports,
,Allushin,,fzshy,,steam,Juice,
1128,TreyRL,,RLTREY,922,steam,The B0yzzz,1313
1337,thundah,,Thundahhh,1246,steam,RBG Esports,1718
1392,Noxes,,NoxesRL,1346,steam,RBG Esports,1901
1337,Skillzboii,,Skillz_RL,1316,steam,Upper 90 eSports,1880
1053,Mackenzi3,,76561198252569848,1194,steam,False Hope,1397
834,Zolhay,,zolhay,1660,steam,Juice,1349
1311,Hato,,haytoe,1235,steam,Juice,1675
1169,Begottensnake02,,76561198090262670,1580,steam,False Hope,1236
1100,BuddyRL,,76561198237544110,1729,steam,Nefarious,1472
1476,Dubl,,76561198274312631,1397,steam,False Hope,1001
,issatalon,,issatalon,,steam,Nefarious,
1095,Vividrl,,Vividrl,1213,steam,Wrld,1534
1701,Bell,,sillybellossom,1730,steam,Nefarious,1233
1284,FalssRL,,falss,1560,steam,LFT,1411
1154,Kiingz,,kiingzrl,1164,steam,Ohio State,1547
,HalcyonRL,,Halcyon,,steam,the boys,
1116,ItsPapsDood,,itspapsdood,950,steam,Team Partly Cloudy,1487
1157,jbob2015,,jbob2015,1146,steam,Ohio State,1641
,Griffin,,Griffin,,steam,LFT,
,Cataclysm,,Cataclsym,,steam,Team Partly Cloudy,
1882,DestinRL4,,DestinRL4,1509,steam,Wrld,1105
,TylerRL,,Steamcommunity.com/id/tyler3594/,,steam,Wrld,
1310,azfura,,Azfura,1160,steam,LFT,1644
